IncidentId,SourceName,CreateDate,Title,ModifiedDate,RaisingEnvironment,OwningTeamName,OwningTenantName,OwningContactAlias,ParentIncidentId,Severity,Status,ResolveDate,CommitDate,ResolvedBy,LastCorrelationDate,Keywords,MitigateDate,ImpactStartDate,MitigatedBy,IncidentType,HowFixed,MinAckDate,MaxAckDate,AckBy
19318856,BeihaiTriageXpertIcMConnector,2016-06-14T00:31:11.6330000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=CreateBoard;] - [BeihaiSvcPPE - CreateBoardFailure],2016-06-14T01:31:05.5370000,null,BEIHAISERVICES\Triage,BeihaiServices,a-olbars,null,1,RESOLVED,2016-06-14T01:31:05.5370000,null,a-olbars,null,null,6/14/2016 1:30:03 AM,6/14/2016 12:22:00 AM,a-olbars,LiveSite,Unable To Reproduce,2016-06-14T00:45:06.5900000,2016-06-14T00:45:06.5900000,a-olbars
19465460,BeihaiTriageXpertIcMConnector,2016-06-18T17:47:17.7530000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=DeleteCreation;] - [BeihaiSvcPPE DeleteCreation Failures],2016-06-18T17:52:25.7270000,null,BEIHAISERVICES\Triage,BeihaiServices,a-olbars,null,1,RESOLVED,2016-06-18T17:52:25.7270000,null,a-olbars,null,null,6/18/2016 5:51:53 PM,6/18/2016 5:29:00 PM,a-olbars,LiveSite,False Alarm/Transient,2016-06-18T17:51:09.0630000,2016-06-18T17:51:09.0630000,a-olbars
19511397,BeihaiTriageXpertIcMConnector,2016-06-20T15:43:16.7830000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=DeleteCreation;] - [BeihaiSvcPPE DeleteCreation Failures],2016-06-20T16:12:02.4970000,null,BEIHAISERVICES\Triage,BeihaiServices,v-cochu,null,1,RESOLVED,2016-06-20T16:12:02.4970000,null,v-cochu,null,null,6/20/2016 4:10:43 PM,6/20/2016 3:25:00 PM,v-cochu,LiveSite,False Alarm/Transient,2016-06-20T16:09:48.8400000,2016-06-20T16:09:48.8400000,v-cochu
19521262,ICMPortal,2016-06-20T22:39:49.1200000,Some models published via Paint Preview are failing to open in Community apps (W10 and Web),2016-07-04T23:05:38.9230000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,acottle,null,3,RESOLVED,2016-07-04T23:05:38.9230000,null,acottle,null,"Community, Paint, Paint Preview, models, publish",7/4/2016 11:04:30 PM,6/20/2016 10:30:32 PM,acottle,LiveSite,Fixed with Ad-Hoc steps,2016-06-20T23:15:22.4770000,2016-06-20T23:15:22.4770000,davfries
19535794,BeihaiTriageXpertIcMConnector,2016-06-21T09:51:07.0670000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=UploadCreation;] - [BeihaiSvcPPE - UploadCreation Failure],2016-06-21T16:46:46.3330000,null,BEIHAISERVICES\Triage,BeihaiServices,null,null,1,RESOLVED,2016-06-21T16:46:46.3330000,null,a-somahi,null,null,6/21/2016 4:45:11 PM,6/21/2016 9:33:00 AM,a-somahi,LiveSite,Other,null,null,null
19540724,BeihaiTriageXpertIcMConnector,2016-06-21T14:09:02.3670000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=GetDeletedCreation;] - [BeihaiSvcPPE GetDeletedCreation Failures],2016-06-21T16:48:50.9770000,null,BEIHAISERVICES\Triage,BeihaiServices,null,null,1,RESOLVED,2016-06-21T16:48:50.9770000,null,a-somahi,2016-06-21T15:03:02.2430000,null,6/21/2016 4:47:52 PM,6/21/2016 1:51:00 PM,a-somahi,LiveSite,Other,null,null,null
19540726,BeihaiTriageXpertIcMConnector,2016-06-21T14:09:07.0800000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=PPE;VEFTopic=DeleteCreation;] - [BeihaiSvcPPE DeleteCreation Failures],2016-06-21T16:50:57.1770000,null,BEIHAISERVICES\Triage,BeihaiServices,null,null,1,RESOLVED,2016-06-21T16:50:57.1770000,null,a-somahi,2016-06-21T15:09:06.6970000,null,6/21/2016 4:49:25 PM,6/21/2016 1:51:00 PM,a-somahi,LiveSite,Other,null,null,null
19552736,ICMPortal,2016-06-21T21:43:00.7670000,Community Win10 app failing to display models in the Hot Now channel,2016-07-07T16:04:12.5830000,PROD,BEIHAISERVICES\CommunityMedia,BeihaiServices,damolina,null,3,MITIGATED,null,null,null,null,"Beihai, Community, Hot Now",7/1/2016 7:00:00 PM,6/21/2016 9:38:28 PM,damolina,LiveSite,Fixed with Hotfix,2016-06-21T22:35:20.9500000,2016-06-22T00:43:20.7200000,damolina
19554819,ICMPortal,2016-06-21T22:44:58.7170000,"Searching for the ""test"" in Community apps returns ""Something went wrong"" and ""Make sure your network connection is active"" errors",2016-08-04T18:36:45.0200000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,damolina,null,3,RESOLVED,2016-08-04T18:36:45.0200000,null,vipka,null,"Beihai, Community, test, search",6/21/2016 11:00:38 PM,6/21/2016 10:37:56 PM,damolina,LiveSite,Fixed with Ad-Hoc steps,2016-06-21T22:47:01.5130000,2016-06-21T22:47:01.5130000,damolina
19654653,ICMPortal,2016-06-24T17:36:18.9530000,"Beihai Community - Web/App - Scrolling down search results page can return 404 on continuation token, causing no results to be returned",2016-06-24T19:11:53.9800000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,damolina,null,3,MITIGATED,null,null,null,null,beihai community win10 web search results user 404,6/24/2016 7:03:59 PM,6/24/2016 4:50:44 PM,damolina,CustomerReported,Other,2016-06-24T18:56:05.0300000,2016-06-24T18:56:05.0300000,damolina
19654768,ICMPortal,2016-06-24T17:43:23.2200000,Beihai Community Win10 App crashes when a user attempts to re-upload a model,2016-09-20T19:18:49.7600000,PROD,BEIHAISERVICES\Triage,BeihaiServices,coryc,null,3,RESOLVED,2016-09-20T19:18:49.7600000,null,coryc,null,"Beihai, Project Beihai, Community Win10, Community W10",7/6/2016 5:11:00 AM,6/24/2016 5:28:58 PM,coryc,LiveSite,Won't Fix,2016-06-24T18:19:46.6670000,2016-09-20T19:17:35.0070000,coryc
19786821,BeihaiTriageXpertIcMConnector,2016-06-27T20:08:06.4430000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=Prod;VEFTopic=Channels;] - [BeihaiSvcProd ChannelFailures],2016-07-04T20:11:38.1630000,null,BEIHAISERVICES\Triage,BeihaiServices,null,null,3,RESOLVED,2016-07-04T20:11:38.1630000,null,hesilva,2016-06-30T19:54:46.6470000,null,6/27/2016 5:10:05 PM,6/27/2016 5:06:00 PM,hesilva,LiveSite,Other,null,null,null
19960388,ICMPortal,2016-07-02T01:41:41.5530000,"Sev 3: Beihai Web Community - the client displays ""Model hasn't been added to any boards yet"" message in the ""Boards Using… "" menu after adding new models to boards",2016-07-06T20:49:37.4530000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,dadeside,null,3,RESOLVED,2016-07-06T20:49:37.4500000,null,dadeside,null,"Beihai Community, models, hasn't been added to any boards",7/6/2016 8:48:28 PM,7/2/2016 1:27:02 AM,dadeside,LiveSite,By Design,2016-07-05T01:41:04.0570000,2016-07-05T01:41:04.0570000,mikemort
20080517,ICMPortal,2016-07-05T22:36:43.6970000,Model is added to a board multiple times,2016-07-06T04:03:05.6500000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,acottle,null,3,MITIGATED,null,null,null,null,"model, creation, board",7/6/2016 3:44:14 AM,7/5/2016 10:30:59 PM,mikemort,CustomerReported,Other,2016-07-05T22:47:04.6000000,2016-07-05T22:47:04.6000000,acottle
20279639,ICMPortal,2016-07-11T19:59:15.4470000,Spotlight model incorrectly has option to edit,2016-07-11T20:22:34.9170000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,seansto,null,3,MITIGATED,null,null,null,null,Spotlight,7/11/2016 8:19:06 PM,7/11/2016 7:52:55 PM,seansto,CustomerReported,,2016-07-11T20:18:39.9830000,2016-07-11T20:18:39.9830000,seansto
20312176,ICMPortal,2016-07-12T18:04:01.5730000,Models in community app might display differently than in web or Paint,2016-12-01T02:17:31.9600000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,acottle,null,3,RESOLVED,2016-09-07T20:16:33.7330000,null,a-miliso,null,"Paint, Community, 3d Model",9/7/2016 8:13:09 PM,7/12/2016 5:54:36 PM,a-miliso,CustomerReported,Unable To Reproduce,2016-07-12T18:42:48.1170000,2016-07-12T18:42:48.1170000,seansto
20428656,ICMPortal,2016-07-15T01:48:46.4370000,500 error from https://ugcorigin.s-microsoft.com/* during upload,2016-07-17T01:05:25.8000000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,null,null,3,MITIGATED,null,null,null,null,,7/15/2016 2:14:01 AM,7/15/2016 1:33:53 AM,a-somahi,LiveSite,Unable To Reproduce,null,null,null
20446162,ICMPortal,2016-07-15T15:03:44.3970000,Community Win10 client failing to add models to boards,2016-09-20T19:19:29.4170000,PROD,BEIHAISERVICES\Triage,BeihaiServices,coryc,null,3,RESOLVED,2016-09-20T19:19:29.4170000,null,coryc,null,"Beihai, Community, models, boards",7/20/2016 10:10:42 PM,7/15/2016 2:58:32 PM,a-antet,LiveSite,Won't Fix,2016-09-20T19:19:01.5100000,2016-09-20T19:19:01.5100000,coryc
20594906,ICMPortal,2016-07-19T16:24:46.8500000,Beihai Community - Web/App - Returning 500 errors on search attempts,2016-07-20T23:05:48.7500000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,damolina,null,3,RESOLVED,2016-07-19T21:28:16.2800000,null,v-cochu,null,beihai community win10 client web search failure 500 error,7/19/2016 9:00:00 PM,7/19/2016 4:15:18 PM,damolina,CustomerReported,Fixed with Hotfix,2016-07-19T16:56:34.7900000,2016-07-19T16:56:34.7900000,damolina
20597143,ICMPortal,2016-07-19T17:58:14.8230000,Toggling between Overview and About tabs closes panel on a model view,2016-08-03T22:41:46.3830000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,null,null,3,MITIGATED,null,null,null,null,"Model view, Panel,",7/19/2016 11:00:40 PM,7/19/2016 5:30:29 PM,coryc,CustomerReported,Other,null,null,null
20792590,ICMPortal,2016-07-25T18:16:30.9930000,Beihai Community - Web/Win10 - Users are unable to login with whitelisted accounts,2016-12-01T02:17:31.9600000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,null,null,1,RESOLVED,2016-11-28T19:26:24.3930000,null,seansto,null,community web win10 client login failure,7/25/2016 7:01:17 PM,7/25/2016 5:46:30 PM,drpowe,CustomerReported,False Alarm/Transient,null,null,null
20963800,ICMPortal,2016-07-28T21:19:07.0700000,Beihai Community Web/Win10 - Returning 500 Errors on model's comment section.,2016-07-29T01:39:21.2570000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,null,null,3,MITIGATED,null,null,null,null,,7/29/2016 1:39:15 AM,7/28/2016 9:10:48 PM,dadeside,CustomerReported,Other,null,null,null
20966152,ICMPortal,2016-07-28T22:40:54.8100000,Beihai Community Web/Win10 - Like feature is NOT available for all models,2016-07-29T01:38:55.2270000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,null,null,3,MITIGATED,null,null,null,null,,7/29/2016 1:38:09 AM,7/28/2016 10:31:53 PM,dadeside,CustomerReported,Other,null,null,null
21154247,ICMPortal,2016-08-03T23:40:42.1730000,"Searching for the words “test” and “board” in Community Web app returns ""Something went wrong, but we're working on it. Please try again in a little while"" error. ",2016-08-04T00:58:44.5670000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,vipka,null,3,MITIGATED,null,null,null,null,Search,8/4/2016 12:58:04 AM,8/3/2016 8:51:26 PM,vipka,CustomerReported,Fixed with Hotfix,2016-08-03T23:41:42.6970000,2016-08-03T23:41:42.6970000,vipka
21200249,ICMPortal,2016-08-05T01:33:41.0430000,"Deleted boards are displayed in model's ""Boards using"" section",2016-08-05T02:03:47.4100000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,vipka,null,3,MITIGATED,null,null,null,null,,8/5/2016 2:00:12 AM,8/5/2016 1:09:50 AM,vipka,CustomerReported,Other,2016-08-05T01:59:21.8830000,2016-08-05T01:59:21.8830000,vipka
21395944,ICMPortal,2016-08-10T23:00:38.6830000,Some models fail to load comments for some users,2016-12-01T02:17:31.9600000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,hesilva,null,3,RESOLVED,2016-11-28T19:56:15.9600000,null,hesilva,null,,9/7/2016 8:17:58 PM,8/10/2016 10:53:28 PM,a-miliso,CustomerReported,Other,2016-08-11T00:01:25.7100000,2016-08-11T00:01:25.7100000,hesilva
21452652,ICMPortal,2016-08-12T02:26:37.2470000,Uploading model returns 500 Internal Server Error ,2016-08-12T03:02:09.6730000,PROD,BEIHAISERVICES\CommunityMedia,BeihaiServices,null,null,3,ACTIVE,null,null,null,null,,null,8/12/2016 2:14:14 AM,null,CustomerReported,null,2016-08-12T02:56:14.2300000,2016-08-12T02:56:14.2300000,acottle
21636182,BeihaiTriageXpertIcMConnector,2016-08-16T18:07:11.9630000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=Prod;VEFTopic=RetrieveComment;] - [BeihaiSvcProd RetrieveComment Reliability Failure],2016-11-28T19:13:16.3270000,null,BEIHAISERVICES\CommunityTriage,BeihaiServices,a-joolse,null,3,RESOLVED,2016-11-28T19:13:16.3270000,null,seansto,null,null,8/16/2016 7:11:47 PM,8/16/2016 5:19:00 PM,dadeside,LiveSite,False Alarm/Transient,2016-08-16T18:30:42.7930000,2016-09-21T22:02:32.1430000,a-joolse
21638306,BeihaiTriageXpertIcMConnector,2016-08-16T19:07:34.8030000,Xpert Alert: [Environment=PROD;ModernClient=Realtime;VEFProvider=Beihai.Svc;VEFProvider=Prod;VEFTopic=RetrieveComment;] - [BeihaiSvcProd RetrieveComment Reliability Failure],2016-11-28T19:13:35.8030000,null,BEIHAISERVICES\CommunityTriage,BeihaiServices,a-joolse,null,1,RESOLVED,2016-11-28T19:13:35.8030000,null,seansto,null,null,8/16/2016 7:27:46 PM,8/16/2016 6:49:00 PM,a-antet,LiveSite,False Alarm/Transient,2016-09-21T22:02:45.7570000,2016-09-21T22:02:45.7570000,a-joolse
21645731,ICMPortal,2016-08-16T22:37:55.4770000,"The model ""Crown"" failing to encode when published via Paint Preview app",2016-08-20T15:11:01.1830000,PROD,BEIHAISERVICES\CommunityMedia,BeihaiServices,manef,null,3,MITIGATED,null,null,null,null,"Paint, Crown, encode",8/20/2016 3:10:25 PM,8/16/2016 10:33:46 PM,a-olbars,LiveSite,Unable To Reproduce,2016-08-16T23:00:20.3600000,2016-08-18T16:33:10.9400000,dadeside
21695550,ICMPortal,2016-08-18T01:20:46.2730000,Long load times for spotlight model for some users,2016-08-20T02:24:22.3200000,PROD,BEIHAISERVICES\CommunityWebClient,BeihaiServices,null,null,3,MITIGATED,null,null,null,null,,8/20/2016 2:18:46 AM,8/18/2016 1:20:45 AM,a-somahi,LiveSite,Other,2016-08-18T01:23:54.1100000,2016-08-18T01:23:54.1100000,dadeside
21765111,ICMPortal,2016-08-19T04:15:55.6970000,Comment section for the model G009SWZMW6S7 returning 500 Error response,2016-12-01T02:17:31.9600000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,dadeside,null,3,RESOLVED,2016-09-02T16:59:06.2670000,null,a-somahi,null,,9/2/2016 4:45:34 PM,8/19/2016 4:15:50 AM,a-somahi,CustomerReported,By Design,2016-08-19T05:15:38.6100000,2016-08-19T05:15:38.6100000,dadeside
21778883,ICMPortal,2016-08-19T14:08:44.4330000,Spotlight model and some of the user boards are missing in preview.projectdenali.microsoft.com,2016-12-01T21:27:23.0300000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,null,null,3,RESOLVED,2016-11-28T19:37:08.3000000,null,seansto,null,"Preview, Community",8/19/2016 10:43:01 PM,8/19/2016 2:05:46 PM,a-somahi,LiveSite,Unable To Reproduce,2016-08-19T20:33:51.9300000,2016-08-19T20:33:51.9300000,dadeside
21998482,ICMPortal,2016-08-23T00:23:38.3470000,Data from Dev and Test environments going into Production in Xpert,2016-08-23T21:49:36.9500000,PROD,BEIHAISERVICES\CommunityWebClient,BeihaiServices,null,null,3,MITIGATED,null,null,null,null,Xpert,8/23/2016 9:49:12 PM,8/22/2016 8:21:19 PM,acottle,null,Other,2016-08-23T01:33:24.5300000,2016-08-23T01:33:24.5300000,acottle
22029370,ICMPortal,2016-08-23T19:08:50.7670000,Beihai Community-Web-Spotlight object has different color or lighting than opened in details,2016-08-23T21:47:12.1170000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,acottle,null,3,MITIGATED,null,null,null,null,"spotlight, shark, model, object, lighting, color, gray, white",8/23/2016 9:46:19 PM,8/23/2016 6:03:15 PM,acottle,LiveSite,Other,2016-08-23T19:11:39.8270000,2016-08-23T19:11:39.8270000,acottle
22033994,ICMPortal,2016-08-23T21:26:06.0230000,Web Community Preview intermittently failing to display models due to HTTP 500 errors,2016-08-24T15:43:54.1430000,PROD,BEIHAISERVICES\CommunityMedia,BeihaiServices,samiak,null,3,RESOLVED,2016-08-24T15:43:54.1430000,null,samiak,null,"Web Community, Preview",8/24/2016 3:41:55 PM,8/23/2016 9:23:15 PM,samiak,LiveSite,Fixed with Hotfix,2016-08-23T21:29:57.3130000,2016-08-24T15:41:46.9100000,acottle
22073334,ICMPortal,2016-08-24T20:44:05.6670000,PROD is down,2016-12-01T02:17:31.9600000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,acottle,null,1,RESOLVED,2016-11-28T19:41:32.0200000,null,seansto,null,"prod, community, down",8/24/2016 8:58:20 PM,8/24/2016 8:36:00 PM,acottle,LiveSite,Fixed with Ad-Hoc steps,2016-08-24T20:48:51.1370000,2016-08-24T20:48:51.1370000,acottle
22083475,ICMPortal,2016-08-25T02:03:59.9330000,Peanut Gallery Channel Missing in discover page,2016-08-25T03:21:02.8770000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,acottle,null,3,RESOLVED,2016-08-25T03:21:02.8770000,null,a-somahi,null,,8/25/2016 3:19:24 AM,8/25/2016 2:03:58 AM,a-somahi,LiveSite,By Design,2016-08-25T02:42:40.6200000,2016-08-25T02:42:40.6200000,acottle
22119223,ICMPortal,2016-08-25T23:35:10.5030000,Comment section for the model G009SWZSW20R returning 500 Error response,2016-08-25T23:45:12.3830000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,acottle,null,3,RESOLVED,2016-08-25T23:45:12.3830000,null,acottle,null,,8/25/2016 11:43:54 PM,8/25/2016 11:35:09 PM,acottle,LiveSite,Other,2016-08-25T23:43:41.4100000,2016-08-25T23:43:41.4100000,acottle
22200012,ICMPortal,2016-08-27T16:21:37.8500000,“Explore new worlds” channel in Web Community Preview redirects to Production,2016-08-29T16:34:09.4800000,PROD,BEIHAISERVICES\CommunityDev,BeihaiServices,acottle,null,3,RESOLVED,2016-08-29T16:34:09.4800000,null,acottle,null,"Web Community, Preview, Explore new worlds",8/29/2016 4:33:35 PM,8/27/2016 4:17:55 PM,acottle,LiveSite,Fixed with Ad-Hoc steps,2016-08-27T16:33:17.9000000,2016-08-27T16:33:17.9000000,acottle
22310377,ICMPortal,2016-08-30T19:23:27.4170000,"Opening View all in new tab, after a search word, results in 500 Error Response",2016-12-01T21:27:23.0300000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,null,null,3,RESOLVED,2016-11-28T19:37:43.4400000,null,seansto,null,,8/30/2016 11:02:31 PM,8/30/2016 7:23:25 PM,a-somahi,LiveSite,Other,2016-08-30T21:26:15.3070000,2016-08-30T21:26:15.3070000,damolina
22447992,ICMPortal,2016-09-01T22:21:37.7300000,Multiple issues in Web Community PROD (e.g. the Spotlight model and some of the user boards are missing),2016-11-30T17:56:15.8630000,PROD,BEIHAISERVICES\BigParkOperations,BeihaiServices,a-miliso,null,2,RESOLVED,2016-11-30T17:56:15.8530000,null,a-anagor,null,,9/1/2016 10:31:00 PM,9/1/2016 10:09:00 PM,a-miliso,LiveSite,Other,2016-09-02T17:34:40.2500000,2016-09-02T17:34:40.2500000,anshah
22460333,ICMPortal,2016-09-02T05:34:20.4200000,Web Community intermittently failing to open an updated model,2016-12-01T21:27:23.0300000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,null,null,3,RESOLVED,2016-09-22T00:18:17.3830000,null,a-somahi,null,"Web Community, update",9/22/2016 12:17:15 AM,9/2/2016 5:31:52 AM,a-somahi,LiveSite,By Design,2016-09-02T17:25:53.1170000,2016-09-02T17:25:53.1170000,anshah
22475417,ICMPortal,2016-09-02T16:22:51.2400000,Delete Comment window disappears behind the model's screen,2016-12-01T21:27:23.0300000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,anshah,null,3,RESOLVED,2016-09-22T00:16:51.9630000,null,a-somahi,null,,9/22/2016 12:14:40 AM,9/2/2016 4:22:51 PM,a-somahi,LiveSite,By Design,2016-09-02T17:24:21.7770000,2016-09-02T17:30:06.4770000,anshah
22489316,ICMPortal,2016-09-02T23:45:00.7100000,"Incorrect ""Made with"" after publishing from Paint",2016-12-01T02:17:31.9600000,PROD,BEIHAISERVICES\RemixServiceDevs,BeihaiServices,seansto,null,3,RESOLVED,2016-11-28T19:11:42.1100000,null,seansto,null,,9/3/2016 12:32:50 AM,9/2/2016 11:38:37 PM,a-somahi,LiveSite,External,2016-09-02T23:49:56.7130000,2016-09-02T23:49:56.7130000,seansto
